Carimbo de data/hora,Você é estudante da UFV em qual nível?,Marque o curso de graduação que você faz,Selecione o curso de mestrado que você faz,Selecione o curso de doutorado que você faz,Selecione o curso de pós-graduação lato-sensu (especialização) que você faz,"Em relação ao seu contato com ferramentas de Inteligência Artificial, como você se classificaria?","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [ChatGPT]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Gemini (Google)]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Llama (Meta AI)]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Midjourney]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [DALL-E]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Deepseek]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Outras]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para organizar e orientar meus estudos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para conferir respostas a exercícios e atividades]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Incorporo soluções fornecidas pela ferramenta aos meus trabalhos e atividades]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Emprego respostas fornecidas pela IA aos meus trabalhos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para orientar a busca, coleta e análise de material de estudo ou pesquisa]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para automatizar tarefas secundárias ou braçais durante meus estudos ou pesquisa]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Peço para a ferramenta fazer resumos de materiais que forneço a ela]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Faço análise de dados usando a ferramenta]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para programar ou me auxiliar com programação]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para correção ou revisão de textos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para produzir imagens a serem incluídas em meus trabalhos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para analisar imagens que forneço à ferramenta]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para me auxiliar com matemática]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para me auxiliar com estatística]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Faço apresentações de slides ou pôsteres usando a ferramenta]","Se você faz ou consegue imaginar usos que não foram contemplados na questão anterior, descreva-os aqui. Se for algo que já pratica, indique também a frequência de uso.",O que você entende por IA (Inteligência Artificial)?,"Em relação a IA e o futuro dos estudos e do trabalho, como você se sente?",Qual(is) tipo(s) de debate sobre o tema da Inteligência Artificial você gostaria de ver dentro da UFV?
27/03/2025 07:16:25,Estudante de graduação,Agronomia,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Desconheço,Somente testei,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Com frequência,Com frequência,Com frequência,Com frequência,Sempre,Sempre,Sempre,Com frequência,Com frequência,Sempre,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Com frequência,Esporadicamente,,Acredito que IA signifique transformar o seu computador em uma máquina mais inteligente que consegue entender coisas sem que precisem ser ditas,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Acredito que é uma ameaça à qualidade do aprendizado humano, Vejo com bons olhos a adoção ampla de IA nas atividades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 07:20:26,Estudante de graduação,Nutrição,,,,Uso esporadicamente,Uso corriqueiramente,Uso corriqueiramente,Desconheço,Desconheço,Desconheço,Desconheço,Uso corriqueiramente,"Nunca usei, mas tenho curiosidade",Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Com frequência,"Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",,"Uma ferramenta que, quando utilizada com cautela, serve para auxiliar e facilitar atividades do dia a dia, sejam elas profissionais ou não","Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 07:28:14,Estudante de graduação,Ciência da Computação,,,,Uso esporadicamente,Uso corriqueiramente,Apenas ouvi falar,Apenas ouvi falar,Desconheço,Apenas ouvi falar,Somente testei,Desconheço,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,,"Inteligência artificial abrange amplas áreas e representa entidades computacionais que apresentam certo nível de inteligência, ou seja, a partir de dados prévios consegue encontrar padrões e desenvolver analises a partir disso. consegue ""aprender"" das informações recebidas e aplicar isso en questões futuras.","Tenho receio ou medo desta tecnologia, Acredito que é algo que veio para ficar, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Segurança e privacidade, Impacto na qualidade de ensino"
27/03/2025 07:28:38,Estudante de graduação,Engenharia de Agrimensura e Cartográfica,,,,Uso corriqueiramente,Somente testei,Somente testei,Somente testei,Apenas ouvi falar,Desconheço,Desconheço,Desconheço,Com frequência,Sempre,Esporadicamente,Com frequência,Com frequência,Esporadicamente,Sempre,Com frequência,"Nunca usei, mas tenho curiosidade",Sempre,Sempre,Sempre,Sempre,Com frequência,Esporadicamente,,"Entendo, que é uma ferramenta de auxílio em tarefas com uma base de dados muito grande.",Acredito que vai potencializar as habilidades e capacidades humanas,"Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 07:31:06,Estudante de graduação,Ciência da Computação,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Uso corriqueiramente,Apenas ouvi falar,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Sempre,Sempre,"Nunca usei, mas tenho curiosidade",,Ferramentas que conseguem aprender e fazer uso desse aprendizado para responder outras questões ,"Acredito que é algo que veio para ficar, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Segurança e privacidade, Impacto na qualidade de ensino"
27/03/2025 07:38:08,Estudante de graduação,Ciência da Computação,,,,Uso corriqueiramente,Uso corriqueiramente,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Somente testei,Desconheço,Com frequência,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Esporadicamente,Com frequência,Esporadicamente,Nunca usei e não pretendo,Com frequência,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Com frequência,Nunca usei e não pretendo,Nunca usei e não pretendo,,"Inteligência Artificial é um modelo de aprendizagem de máquina aplicado. Hoje em dia, o principal interesse geral é na IA generativa, então quando me perguntam sobre IA eu assumo e entendo que é sobre Chat bots ou algorítmos de redes sociais.",Acredito que é uma ameaça à qualidade do aprendizado humano,"Ética, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 07:42:15,Estudante de graduação,Direito,,,,Uso esporadicamente,Uso corriqueiramente,Somente testei,Desconheço,Desconheço,Desconheço,Somente testei,Desconheço,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Sempre,Nunca usei e não pretendo,Nunca usei e não pretendo,Com frequência,Nunca usei e não pretendo,Nunca usei e não pretendo,,Veio para otimizar o tempo,Acredito que é algo que veio para ficar,"Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino"
27/03/2025 07:48:46,Estudante de graduação,Ciência da Computação,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Apenas ouvi falar,Desconheço,Apenas ouvi falar,Desconheço,Somente testei,Desconheço,Com frequência,Com frequência,Esporadicamente,Nunca usei e não pretendo,Com frequência,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Com frequência,Nunca usei e não pretendo,Nunca usei e não pretendo,,"Uma tecnologia que permite otimizar e facilitar diversos campos, porém caso não seja devidamente regulada, pode vir a trazer grandes problemas no futuro.","Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 07:54:47,Estudante de graduação,Ciência da Computação,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,"Nunca usei, mas tenho curiosidade",Com frequência,Com frequência,Com frequência,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Com frequência,Com frequência,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade",,IA tenta simular o raciocínio humano ao responder uma pergunta ou comentário,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Acredito que é uma ameaça ao trabalho humano, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino"
27/03/2025 08:03:24,Estudante de graduação,Ciência da Computação,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Uso corriqueiramente,Uso corriqueiramente,Uso corriqueiramente,Uso corriqueiramente,Uso corriqueiramente,Uso corriqueiramente,Com frequência,Com frequência,Esporadicamente,Esporadicamente,Com frequência,Sempre,Sempre,Sempre,Com frequência,Com frequência,Com frequência,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,,"Conjunto de diferentes técnicas computacionais para se resolver problemas complexos. Agrupa métodos de aprendizagem clássicos, como os algoritmos de machine learning, e modernos como os modelos de deep learning.","Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção ampla de IA nas atividades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 08:06:57,Estudante de graduação,Ciência da Computação,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,"Apenas ouvi falar, Somente testei",Somente testei,Apenas ouvi falar,Somente testei,Uso corriqueiramente,Apenas ouvi falar,"Nunca usei, mas tenho curiosidade",Sempre,Esporadicamente,Esporadicamente,Sempre,Sempre,Com frequência,Esporadicamente,Sempre,Sempre,"Nunca usei, mas tenho curiosidade",Esporadicamente,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",,Um ente inteligente capaz de dar a resposta mais provável baseada em seu modelo.,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 08:22:53,Estudante de graduação,Ciência da Computação,,,,Uso esporadicamente,Uso corriqueiramente,Apenas ouvi falar,Desconheço,Desconheço,Desconheço,Apenas ouvi falar,Apenas ouvi falar,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,,Sistema treinado para realizar certa tarefa de modo mais flexivel.,"Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 08:24:44,Estudante de graduação,Engenharia de Agrimensura e Cartográfica,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Somente testei,Somente testei,Somente testei,Somente testei,Uso corriqueiramente,Somente testei,Sempre,Sempre,Esporadicamente,Esporadicamente,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Sempre,Sempre,"Nunca usei, mas tenho curiosidade",,"Entendo que é uma ferramenta que se bem utilizada, eleva o nível de produção do usuário em muitos termos. Logicamente, não se deve utilizá-la como algo derradeiro, pois ainda é algo que tem muito a evoluir e por isso, é bem impreciso em alguns aspectos.","Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Segurança e privacidade, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 08:25:29,Estudante de graduação,Engenharia de Agrimensura e Cartográfica,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Somente testei,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Somente testei,Somente testei,Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",,"Inteligência Artificial (IA) é quando máquinas aprendem a fazer coisas que, normalmente, só os humanos conseguiriam, como entender padrões, tomar decisões e até resolver problemas. Isso acontece porque elas processam grandes quantidades de informação e vão melhorando com o tempo. A IA já faz parte do nosso dia a dia, ajudando em coisas simples, como sugerir músicas, e até em áreas mais complexas, como diagnósticos médicos ou carros autônomos.",Acredito que é algo que veio para ficar,"Impactos ambientais, Segurança e privacidade, Eventos explicando melhor a tecnologia, em termos técnicos"
